Title,Link,Image URL,Original Price,Discounted Price,Weight,Dimensions,Brand,Bowling Ball Coverstock Type,Bowling Ball Cover Name,Bowling Ball Core Name,Bowling Ball Core Shape,Radius of Gyration: RG (15LB),Differential: Diff (15LB),Mass Bias Strength,Flare Potential,Surface Finish,Scent,Ball Lane Conditions,Ball Performance Level,Bowling Ball Color,Ball Weight,Release Date,B.M.W
DV8 Hater Pearl Bowling Ball,https://www.bowlersmart.com/product/dv8-hater-pearl-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Hater_Pearl_720x720.jpg?w=300&h=300&crop=1,$279.95,$189.95,15 lbs,9 × 9 × 9 in,DV8,Pearl Reactive,DV8 HK22 Havoc Hybrid Reactive,DV8 Hater Core,Asymmetrical Core,2.53,.054,.024,5 – 6 Inches,1500 Grit,None,Medium – Heavy Oil,High Performance Bowling Balls,"Black,Grey,Purple","12LB,13LB,14LB,15LB,16LB",May 2025,
900 Global Origin EX Bowling Ball,https://www.bowlersmart.com/product/900-global-origin-ex-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/900-Global-Origin-EX_NoShadow.jpg?w=300&h=300&crop=1,$299.95,$199.95,15 lbs,9 × 9 × 9 in,900 Global,Reactive,900 Globel RB 89 Solid Reactive,900 Global Ellipse Asymmetric A.I. Core,Asymmetrical Core,2.48,.050,.020,5 – 6 Inches,2000 Grit,None,Medium – Heavy Oil,"900 Global 800 Series Bowling Balls,High Performance Bowling Balls","Orange,Purple,Red","12LB,13LB,14LB,15LB,16LB",May 2025,
Roto Grip Hustler Black Overseas Bowling Ball,https://www.bowlersmart.com/product/roto-grip-hustler-black-overseas-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/roto-grip-hustler-black-solid.webp?w=300&h=300&crop=1,$229.95,$129.95,15 lbs,10 × 10 × 10 in,Roto Grip,Urethane,Roto Grip SteadyTrax Urethane,Roto Grip Hustle Core,Symmetrical Core,2.53,.030,N/A,3 – 4 Inches,500 Grit,None,"Dry – Medium Oil,Medium Oil","Performance Bowling Balls,Roto Grip HP1 Bowling Balls",Black,"14LB,15LB",,
OTB NCAA Minnesota Bowling Ball,https://www.bowlersmart.com/product/otb-ncaa-minnesota-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/OTBB_008_0135_minnesota_ball_1-20210902165041-921.jpg?w=300&h=300&crop=1,$180.00,$159.95,15 lbs,10 × 10 × 10 in,"KR Strikeforce,OnTheBallBowling",Plastic,,,Symmetrical Core,,,,,,,Dry,Entry Level Novice Bowling Balls,,,,
Storm Typhoon Bowling Ball,https://www.bowlersmart.com/product/storm-typhoon-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/storm-Typhoon-bowling-ball-600-arpil2025.jpg?w=300&h=300&crop=1,$219.95,$139.95,15 lbs,9 × 9 × 9 in,Storm,Pearl Reactive,Storm Reactor Pearl Reactive,Storm Atmos A.I. Core,Symmetrical Core,2.53,.042,N/A,3 – 4 Inches,Storm Power Edge,Grape Punch,Medium Oil,"Entry Level Novice Bowling Balls,Storm Hot Line","Grey,Purple","10LB,11LB,12LB,13LB,14LB,15LB,16LB",,Yes
KR Strikeforce Clear Red Rose Bowling Ball,https://www.bowlersmart.com/product/kr-strikeforce-clear-red-rose-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/KR1500145.jpg?w=300&h=300&crop=1,$249.95,$149.95,15 lbs,10 × 10 × 10 in,"BowlersMart,KR Strikeforce",Plastic,,,,,,,,,,,,,14LB,,
SWAG Incredible Sweet Rare Series Bowling Ball,https://www.bowlersmart.com/product/swag-incredible-sweet-rare-series-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/swag-incredibly-sweet-700-may2025.jpg?w=300&h=300&crop=1,$289.95,$179.95,15 lbs,10 × 10 × 10 in,SWAG,Reactive,SWAG USY 3 Pearl Reactive,Swag Incredible Core,Asymmetrical Core,2.52,.054,.020,5 – 6 Inches,2000 Grit,None,Medium – Heavy Oil,"High Performance Bowling Balls,SWAG Advanced Tech","Red,White","13LB,14LB,15LB",,
Motiv Jackal ExJ Bowling Ball,https://www.bowlersmart.com/product/motiv-jackal-exj-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/motiv-jackal-exj-front1-700-april2025.jpg?w=300&h=300&crop=1,$289.95,$214.95,15 lbs,9 × 9 × 9 in,Motiv,Reactive,Motiv Propulsion HVH Reactive,Motiv Predator V2 Core,Asymmetrical Core,2.47,.054,.015,5 – 6 Inches,4000 Grit,None,Heavy Oil,"High Performance Bowling Balls,Motiv Heavy Oil Bowling Balls",White,"12LB,13LB,14LB,15LB,16LB",June 2025,
Brunswick Twist Pink Black Bowling Ball,https://www.bowlersmart.com/product/brunswick-twist-pink-black-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Twist_Pink_Black_2025_720x720.png?w=300&h=300&crop=1,$149.95,$89.95,15 lbs,10 × 10 × 10 in,Brunswick,Pearl Reactive,Brunswick R-16 Pearl Reactive,Brunswick Twist Low Diff Core,Symmetrical Core,2.59,.018,N/A,2 – 3 Inches,500 Grit Polish,None,Dry – Medium Oil,"Brunswick Affordable Performance Bowling Balls,Entry Level Novice Bowling Balls","Blue,Silver","8LB,9LB,10LB,11LB,12LB,13LB,14LB,15LB,16LB",,
Hammer Axe Green Smoke Bowling Ball,https://www.bowlersmart.com/product/hammer-axe-green-smoke-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Hammer-Axe-Green-Smoke-Bowling-Ball.webp?w=300&h=300&crop=1,$119.95,$89.95,15 lbs,9 × 9 × 9 in,Hammer,Pearl Reactive,Hammer Low Friction Reactive,3 Piece Core,Symmetrical Core,2.69,.019,N/A,0 – 1 Inches,Polished,N/A,Dry,"Entry Level Novice Bowling Balls,Hammer Plastic Performance Bowling Balls","Green,Grey","8LB,9LB,10LB,11LB,12LB,13LB,14LB,15LB,16LB",April 2025,
